#Samples	accuracy_96c	accuracy_80c
Biliary-AdenoCA::SP117655	0.968	0.963
Biliary-AdenoCA::SP117556	0.919	0.959
Biliary-AdenoCA::SP117627	0.972	0.982
Biliary-AdenoCA::SP117775	0.987	0.987
Biliary-AdenoCA::SP117332	0.987	0.984
Biliary-AdenoCA::SP117712	0.947	0.888
Biliary-AdenoCA::SP117017	0.951	0.959
Biliary-AdenoCA::SP117031	0.975	0.974
Biliary-AdenoCA::SP117759	0.975	0.982
Biliary-AdenoCA::SP117621	0.988	0.988
Biliary-AdenoCA::SP117425	0.996	0.995
Biliary-AdenoCA::SP117930	0.965	0.964
Biliary-AdenoCA::SP99287	0.966	0.945
Biliary-AdenoCA::SP99293	0.968	0.932
Biliary-AdenoCA::SP99289	0.96	0.93
Biliary-AdenoCA::SP99297	0.922	0.921
Biliary-AdenoCA::SP99301	0.961	0.97
Biliary-AdenoCA::SP99305	0.959	0.954
Biliary-AdenoCA::SP99309	0.95	0.948
Biliary-AdenoCA::SP99313	0.973	0.951
Biliary-AdenoCA::SP99317	0.944	0.94
Biliary-AdenoCA::SP99321	0.98	0.978
Biliary-AdenoCA::SP99325	0.98	0.918
Biliary-AdenoCA::SP99329	0.959	0.952
Biliary-AdenoCA::SP99333	0.965	0.955
Biliary-AdenoCA::SP99337	0.967	0.956
Biliary-AdenoCA::SP99341	0.958	0.954
Biliary-AdenoCA::SP99345	0.972	0.938
Biliary-AdenoCA::SP99113	0.937	0.92
Biliary-AdenoCA::SP99185	0.968	0.927
Biliary-AdenoCA::SP99209	0.966	0.916
Biliary-AdenoCA::SP99213	0.967	0.945
Biliary-AdenoCA::SP99221	0.944	0.927
Biliary-AdenoCA::SP99225	0.967	0.962
Biliary-AdenoCA::SP99241	0.969	0.931
Bladder-TCC::SP1086	0.982	0.977
Bladder-TCC::SP1003	0.996	0.995
Bladder-TCC::SP1677	0.996	0.996
Bladder-TCC::SP1305	0.968	0.972
Bladder-TCC::SP963	0.998	0.997
Bladder-TCC::SP1144	0.995	0.994
Bladder-TCC::SP1132	0.959	0.966
Bladder-TCC::SP1712	0.995	0.994
Bladder-TCC::SP1114	0.935	0.934
Bladder-TCC::SP1431	0.994	0.993
Bladder-TCC::SP975	0.982	0.976
Bladder-TCC::SP1059	0.992	0.99
Bladder-TCC::SP1419	0.987	0.984
Bladder-TCC::SP1009	0.995	0.994
Bladder-TCC::SP1724	0.997	0.996
Bladder-TCC::SP96136	0.998	0.996
Bladder-TCC::SP967	0.967	0.968
Bladder-TCC::SP1781	0.996	0.995
Bladder-TCC::SP1174	0.987	0.987
Bladder-TCC::SP953	0.991	0.989
Bladder-TCC::SP1377	0.995	0.993
Bladder-TCC::SP1365	0.988	0.985
Bladder-TCC::SP1491	0.986	0.978
Bone-Benign::SP116536	0.965	0.975
Bone-Benign::SP116539	0.908	0.932
Bone-Benign::SP116542	0.926	0.928
Bone-Benign::SP116545	0.941	0.951
Bone-Benign::SP116548	0.898	0.909
Bone-Benign::SP116550	0.897	0.912
Bone-Benign::SP116553	0.896	0.904
Bone-Benign::SP116557	0.877	0.87
Bone-Benign::SP116559	0.917	0.936
Bone-Benign::SP116562	0.875	0.875
Bone-Benign::SP116564	0.919	0.954
Bone-Benign::SP116571	0.946	0.948
Bone-Benign::SP116393	0.839	0.87
Bone-Benign::SP116442	0.891	0.913
Bone-Benign::SP116446	0.888	0.886
Bone-Epith::SP116419	0.91	0.905
Bone-Epith::SP116383	0.976	0.975
Bone-Epith::SP116385	0.957	0.96
Bone-Epith::SP116440	0.959	0.95
Bone-Epith::SP116450	0.974	0.97
Bone-Epith::SP116493	0.961	0.956
Bone-Epith::SP116391	0.933	0.93
Bone-Epith::SP116401	0.965	0.969
Bone-Epith::SP116409	0.973	0.966
Bone-Epith::SP116416	0.946	0.943
Bone-Epith::SP116424	0.934	0.931
Bone-Osteosarc::SP116515	0.899	0.894
Bone-Osteosarc::SP116499	0.955	0.963
Bone-Osteosarc::SP116505	0.948	0.956
Bone-Osteosarc::SP116509	0.986	0.984
Bone-Osteosarc::SP116437	0.955	0.947
Bone-Osteosarc::SP116512	0.919	0.926
Bone-Osteosarc::SP116465	0.947	0.939
Bone-Osteosarc::SP116496	0.982	0.961
Bone-Osteosarc::SP116525	0.966	0.965
Bone-Osteosarc::SP116481	0.968	0.976
Bone-Osteosarc::SP116586	0.934	0.942
Bone-Osteosarc::SP116528	0.96	0.969
Bone-Osteosarc::SP116589	0.925	0.932
Bone-Osteosarc::SP116406	0.951	0.956
Bone-Osteosarc::SP116484	0.928	0.927
Bone-Osteosarc::SP116453	0.949	0.942
Bone-Osteosarc::SP116469	0.925	0.933
Bone-Osteosarc::SP116578	0.975	0.974
Bone-Osteosarc::SP116531	0.931	0.939
Bone-Osteosarc::SP116593	0.95	0.956
Bone-Osteosarc::SP116487	0.957	0.964
Bone-Osteosarc::SP116456	0.94	0.959
Bone-Osteosarc::SP116472	0.975	0.951
Bone-Osteosarc::SP116518	0.953	0.904
Bone-Osteosarc::SP116412	0.958	0.956
Bone-Osteosarc::SP116534	0.923	0.926
Bone-Osteosarc::SP116596	0.961	0.942
Bone-Osteosarc::SP116490	0.928	0.924
Bone-Osteosarc::SP116459	0.952	0.964
Bone-Osteosarc::SP116475	0.956	0.956
Bone-Osteosarc::SP116520	0.963	0.971
Bone-Osteosarc::SP116431	0.969	0.968
Bone-Osteosarc::SP116582	0.966	0.975
Bone-Osteosarc::SP116599	0.96	0.959
Bone-Osteosarc::SP116478	0.978	0.979
Bone-Osteosarc::SP116462	0.96	0.96
Bone-Osteosarc::SP116523	0.955	0.961
Bone-Osteosarc::SP116434	0.882	0.887
Breast-AdenoCA::SP117956	0.938	0.955
Breast-AdenoCA::SP117975	0.957	0.965
Breast-AdenoCA::SP2149	0.965	0.961
Breast-AdenoCA::SP117113	0.957	0.964
Breast-AdenoCA::SP117245	0.971	0.971
Breast-AdenoCA::SP117402	0.989	0.987
Breast-AdenoCA::SP117136	0.961	0.96
Breast-AdenoCA::SP117378	0.968	0.969
Breast-AdenoCA::SP116947	0.964	0.966
Breast-AdenoCA::SP117369	0.997	0.997
Breast-AdenoCA::SP117244	0.991	0.99
Breast-AdenoCA::SP117162	0.978	0.975
Breast-AdenoCA::SP117079	0.996	0.995
Breast-AdenoCA::SP117344	0.962	0.959
Breast-AdenoCA::SP118074	0.978	0.978
Breast-AdenoCA::SP117598	0.942	0.958
Breast-AdenoCA::SP117312	0.98	0.979
Breast-AdenoCA::SP118038	0.989	0.986
Breast-AdenoCA::SP117552	0.964	0.962
Breast-AdenoCA::SP118073	0.96	0.967
Breast-AdenoCA::SP117933	0.942	0.943
Breast-AdenoCA::SP118012	0.974	0.971
Breast-AdenoCA::SP117108	0.976	0.979
Breast-AdenoCA::SP117812	0.96	0.959
Breast-AdenoCA::SP117354	0.97	0.973
Breast-AdenoCA::SP117370	0.975	0.98
Breast-AdenoCA::SP116991	0.972	0.976
Breast-AdenoCA::SP117629	0.979	0.977
Breast-AdenoCA::SP124199	0.952	0.971
Breast-AdenoCA::SP124195	0.971	0.973
Breast-AdenoCA::SP117850	0.982	0.985
Breast-AdenoCA::SP117127	0.964	0.966
Breast-AdenoCA::SP117614	0.968	0.966
Breast-AdenoCA::SP116948	0.974	0.972
Breast-AdenoCA::SP117409	0.982	0.981
Breast-AdenoCA::SP117593	0.95	0.948
Breast-AdenoCA::SP117372	0.998	0.998
Breast-AdenoCA::SP118077	0.956	0.96
Breast-AdenoCA::SP117840	0.964	0.965
Breast-AdenoCA::SP117363	0.938	0.951
Breast-AdenoCA::SP117887	0.959	0.959
Breast-AdenoCA::SP116946	0.978	0.979
Breast-AdenoCA::SP117901	0.97	0.965
Breast-AdenoCA::SP117454	0.977	0.965
Breast-AdenoCA::SP124197	0.994	0.993
Breast-AdenoCA::SP117919	0.974	0.973
Breast-AdenoCA::SP117250	0.997	0.997
Breast-AdenoCA::SP117983	0.979	0.98
Breast-AdenoCA::SP117676	0.968	0.973
Breast-AdenoCA::SP117011	0.999	0.999
Breast-AdenoCA::SP117057	0.98	0.979
Breast-AdenoCA::SP117126	0.976	0.976
Breast-AdenoCA::SP117728	0.971	0.964
Breast-AdenoCA::SP117618	0.956	0.964
Breast-AdenoCA::SP117257	0.971	0.973
Breast-AdenoCA::SP116963	0.965	0.959
Breast-AdenoCA::SP117078	0.959	0.971
Breast-AdenoCA::SP117944	0.965	0.956
Breast-AdenoCA::SP117639	0.977	0.979
Breast-AdenoCA::SP117834	0.939	0.947
Breast-AdenoCA::SP117105	0.981	0.98
Breast-AdenoCA::SP117785	0.981	0.974
Breast-AdenoCA::SP117882	0.962	0.971
Breast-AdenoCA::SP117778	0.963	0.96
Breast-AdenoCA::SP117032	0.95	0.951
Breast-AdenoCA::SP117710	0.979	0.979
Breast-AdenoCA::SP117538	0.969	0.966
Breast-AdenoCA::SP124207	0.973	0.97
Breast-AdenoCA::SP117800	0.978	0.975
Breast-AdenoCA::SP117724	0.961	0.967
Breast-AdenoCA::SP124193	0.99	0.989
Breast-AdenoCA::SP2293	0.998	0.998
Breast-AdenoCA::SP2357	0.956	0.952
Breast-AdenoCA::SP2144	0.979	0.974
Breast-AdenoCA::SP2145	0.972	0.973
Breast-AdenoCA::SP2147	0.974	0.97
Breast-AdenoCA::SP2146	0.974	0.973
Breast-AdenoCA::SP2148	0.993	0.991
Breast-AdenoCA::SP2150	0.943	0.955
Breast-AdenoCA::SP2152	0.972	0.979
Breast-AdenoCA::SP2349	0.978	0.983
Breast-AdenoCA::SP2155	0.976	0.972
Breast-AdenoCA::SP2154	0.966	0.963
Breast-AdenoCA::SP2158	0.957	0.96
Breast-AdenoCA::SP2156	0.974	0.971
Breast-AdenoCA::SP2159	0.997	0.997
Breast-AdenoCA::SP2153	0.972	0.97
Breast-AdenoCA::SP2160	0.955	0.964
Breast-AdenoCA::SP2151	0.982	0.974
Breast-AdenoCA::SP116341	0.988	0.981
Breast-AdenoCA::SP116331	0.977	0.977
Breast-AdenoCA::SP116351	0.968	0.975
Breast-AdenoCA::SP116371	0.98	0.977
Breast-AdenoCA::SP116361	0.996	0.995
Breast-AdenoCA::SP116343	0.975	0.982
Breast-AdenoCA::SP116333	0.976	0.974
Breast-AdenoCA::SP116373	0.964	0.959
Breast-AdenoCA::SP116363	0.974	0.971
Breast-AdenoCA::SP116353	0.98	0.981
Breast-AdenoCA::SP116345	0.97	0.978
Breast-AdenoCA::SP116365	0.991	0.986
Breast-AdenoCA::SP116375	0.975	0.977
Breast-AdenoCA::SP116335	0.981	0.965
Breast-AdenoCA::SP116355	0.971	0.966
Breast-AdenoCA::SP116347	0.973	0.98
Breast-AdenoCA::SP116367	0.984	0.981
Breast-AdenoCA::SP116339	0.978	0.975
Breast-AdenoCA::SP116349	0.964	0.966
Breast-AdenoCA::SP116357	0.971	0.966
Breast-AdenoCA::SP116359	0.988	0.982
Breast-AdenoCA::SP116369	0.977	0.971
Breast-AdenoCA::SP116377	0.983	0.98
Breast-AdenoCA::SP116379	0.97	0.975
Breast-AdenoCA::SP7692	0.996	0.996
Breast-AdenoCA::SP5052	0.932	0.931
Breast-AdenoCA::SP7785	0.968	0.965
Breast-AdenoCA::SP3415	0.985	0.982
