#Cancer_type	Sample	Sig	96c	80c	80c_ajusted	LR(80c_adj/96c)
Biliary-AdenoCA	SP117655	SBS1	1471.0	1271.0	1304.0	-0.05229729832718028
Biliary-AdenoCA	SP117655	SBS2	1359.0	1291.0	1292.0	-0.0219403834898235
Biliary-AdenoCA	SP117655	SBS5	2670.0	4119.0	5928.0	0.34630756232359095
Biliary-AdenoCA	SP117655	SBS13	745.0	759.0	763.0	0.010354531103021133
Biliary-AdenoCA	SP117655	SBS40	8661.0	5578.0	6667.0	-0.11362258823785579
Biliary-AdenoCA	SP117556	SBS1	852.0	947.0	972.0	0.05716380910082886
Biliary-AdenoCA	SP117556	SBS5	4112.0	1249.0	1798.0	-0.35912754616362375
Biliary-AdenoCA	SP117556	SBS40	123.0	2110.0	2522.0	1.3084955653553396
Biliary-AdenoCA	SP117627	SBS1	1153.0	1027.0	1054.0	-0.03895334918600118
Biliary-AdenoCA	SP117627	SBS2	567.0	534.0	535.0	-0.02518354601824887
Biliary-AdenoCA	SP117627	SBS5	1692.0	2275.0	3274.0	0.2865543462188666
Biliary-AdenoCA	SP117627	SBS13	47.0	53.0	53.0	0.05115252244738129
Biliary-AdenoCA	SP117627	SBS40	2465.0	1274.0	1523.0	-0.20900810525613114
Biliary-AdenoCA	SP117775	SBS1	1836.0	1704.0	1749.0	-0.021071107619513904
Biliary-AdenoCA	SP117775	SBS2	1345.0	1313.0	1314.0	-0.01011930706218138
Biliary-AdenoCA	SP117775	SBS5	2682.0	2888.0	4156.0	0.19015935183427574
Biliary-AdenoCA	SP117775	SBS13	1217.0	1222.0	1228.0	0.0039045945895975543
Biliary-AdenoCA	SP117775	SBS40	5333.0	3706.0	4429.0	-0.08064928513078776
Biliary-AdenoCA	SP117332	SBS1	441.0	418.0	429.0	-0.011953813769505373
Biliary-AdenoCA	SP117332	SBS2	466.0	457.0	458.0	-0.007504195028850931
Biliary-AdenoCA	SP117332	SBS5	968.0	835.0	1202.0	0.09394185028907938
Biliary-AdenoCA	SP117332	SBS13	479.0	474.0	476.0	-0.0027228583354732883
Biliary-AdenoCA	SP117332	SBS40	1103.0	833.0	996.0	-0.044273915081524395
Biliary-AdenoCA	SP117712	SBS1	106.0	179.0	184.0	0.23778795071780418
Biliary-AdenoCA	SP117712	SBS5	7002.0	3071.0	4420.0	-0.19976361144211752
Biliary-AdenoCA	SP117712	SBS12	1627.0	2319.0	15257.0	0.9718432100061701
Biliary-AdenoCA	SP117712	SBS24	2571.0	2326.0	2447.0	-0.02145955077866088
