Samples	Cancer_type	Correction_accuracy	Similarity_FFPEsig_original	similarity_label	Mutationload_C2T	noise_load	SNR	SNR_label
Biliary-AdenoCA::SP117655	Biliary-AdenoCA	0.9536528192224821	0.6482735979735932	Middle	5419	9957	0.5442402330019082	Middle
Biliary-AdenoCA::SP117627	Biliary-AdenoCA	0.9232932829597995	0.8288647338705978	Middle	3029	10034	0.30187362965915887	Middle
Biliary-AdenoCA::SP117775	Biliary-AdenoCA	0.9334001064521784	0.7540867138755734	Middle	5226	9905	0.5276123170116103	Middle
Biliary-AdenoCA::SP117332	Biliary-AdenoCA	0.9059747816874949	0.6834064958531165	Middle	1400	10051	0.13928962292309224	Middle
Biliary-AdenoCA::SP117712	Biliary-AdenoCA	0.9351712233781484	0.6090744265466239	Middle	2372	10048	0.2360668789808917	Middle
Biliary-AdenoCA::SP117017	Biliary-AdenoCA	0.9457645000564466	0.6376695157648433	Middle	3714	9963	0.37277928334838906	Middle
Biliary-AdenoCA::SP117031	Biliary-AdenoCA	0.9563262943068489	0.8756133713516793	Middle	4023	10053	0.40017905102954343	Middle
Biliary-AdenoCA::SP117759	Biliary-AdenoCA	0.9161076571862345	0.8347427127545402	Middle	5992	10086	0.59409081895697	Middle
Biliary-AdenoCA::SP117425	Biliary-AdenoCA	0.976800008830869	0.39372271365007855	Low	6199	9923	0.6247102690718532	Middle
Biliary-AdenoCA::SP117930	Biliary-AdenoCA	0.9103095213918673	0.8454721697958577	Middle	4022	9907	0.40597557282729385	Middle
Biliary-AdenoCA::SP99293	Biliary-AdenoCA	0.986412586374706	0.5240670082603246	Middle	2321	9988	0.23237885462555066	Middle
Biliary-AdenoCA::SP99289	Biliary-AdenoCA	0.9861856664392259	0.5271221406743558	Middle	3166	9864	0.32096512570965124	Middle
Biliary-AdenoCA::SP99301	Biliary-AdenoCA	0.9590936769097613	0.8616814093718222	Middle	5457	10059	0.5424992543990457	Middle
Biliary-AdenoCA::SP99309	Biliary-AdenoCA	0.9798946411530794	0.5974100415247703	Middle	1847	9897	0.1866222087501263	Middle
Biliary-AdenoCA::SP99313	Biliary-AdenoCA	0.9753616685696402	0.5904620140897485	Middle	1723	9838	0.17513722301280749	Middle
Biliary-AdenoCA::SP99325	Biliary-AdenoCA	0.9586868055018863	0.7901839283124121	Middle	74534	9952	7.489348874598071	High
Biliary-AdenoCA::SP99329	Biliary-AdenoCA	0.9523625013428716	0.6517843214268317	Middle	2169	9932	0.21838501812323802	Middle
Biliary-AdenoCA::SP99333	Biliary-AdenoCA	0.9523383108056875	0.8711721320732514	Middle	962	10118	0.09507807867167424	Middle
Biliary-AdenoCA::SP99341	Biliary-AdenoCA	0.9358648297165533	0.7903706851322252	Middle	1245	9928	0.12540290088638195	Middle
Biliary-AdenoCA::SP99345	Biliary-AdenoCA	0.9559195459177575	0.580646870318705	Middle	778	10054	0.07738213646309926	Middle
Biliary-AdenoCA::SP99113	Biliary-AdenoCA	0.9138127165414804	0.7201502416678682	Middle	694	9984	0.06951121794871795	Middle
Biliary-AdenoCA::SP99185	Biliary-AdenoCA	0.9852650495716266	0.520045762626448	Middle	2067	9905	0.20868248359414437	Middle
Biliary-AdenoCA::SP99209	Biliary-AdenoCA	0.9782302882843777	0.6162837009077761	Middle	2260	10107	0.22360740081131888	Middle
Biliary-AdenoCA::SP99221	Biliary-AdenoCA	0.9215205399131747	0.6741264360437885	Middle	529	9918	0.05333736640451704	Middle
Biliary-AdenoCA::SP99225	Biliary-AdenoCA	0.9211196093507295	0.8155968570878039	Middle	1135	10035	0.11310413552566019	Middle
Biliary-AdenoCA::SP99241	Biliary-AdenoCA	0.9848652058522918	0.5203326162975128	Middle	3657	10024	0.3648244213886672	Middle
Bladder-TCC::SP1086	Bladder-TCC	0.957705671586624	0.5317746958772134	Middle	5395	10034	0.537671915487343	Middle
Bladder-TCC::SP1003	Bladder-TCC	0.9944289826000485	0.3026436669300768	Low	10448	10069	1.0376402820538286	High
Bladder-TCC::SP1677	Bladder-TCC	0.9977739518973837	0.27190305459016095	Low	15125	9899	1.5279321143549853	High
Bladder-TCC::SP1305	Bladder-TCC	0.9780588043800926	0.5046421893615249	Middle	9803	10020	0.9783433133732535	High
Bladder-TCC::SP963	Bladder-TCC	0.9976623700600122	0.25962349931752654	Low	15661	10076	1.5542874156411275	High
Bladder-TCC::SP1144	Bladder-TCC	0.9441286781909216	0.5461842591492586	Middle	10155	9921	1.0235863320229817	High
Bladder-TCC::SP1132	Bladder-TCC	0.9707640450832634	0.5849648666245388	Middle	6218	10033	0.6197548091298715	Middle
Bladder-TCC::SP1712	Bladder-TCC	0.9963739551156585	0.35713739035061204	Low	4468	10176	0.43907232704402516	Middle
Bladder-TCC::SP1114	Bladder-TCC	0.9713211524195553	0.5407359055341312	Middle	4348	9912	0.43866020984665055	Middle
Bladder-TCC::SP1431	Bladder-TCC	0.9847275762782964	0.4027463320667162	Low	4340	9963	0.43561176352504266	Middle
Bladder-TCC::SP975	Bladder-TCC	0.941032243081058	0.7066472574134371	Middle	6305	9995	0.6308154077038519	Middle
Bladder-TCC::SP1059	Bladder-TCC	0.9978879653719215	0.2923650251003824	Low	16680	10046	1.660362333266972	High
Bladder-TCC::SP1009	Bladder-TCC	0.9808587331931335	0.38822171544375056	Low	5141	10002	0.5139972005598881	Middle
Bladder-TCC::SP1724	Bladder-TCC	0.9894341175856666	0.30548229784502245	Low	6264	10006	0.6260243853687787	Middle
Bladder-TCC::SP96136	Bladder-TCC	0.9980303144029556	0.26524044223353177	Low	24605	9974	2.46691397633848	High
Bladder-TCC::SP1781	Bladder-TCC	0.9974232912508925	0.25697072071683846	Low	16505	9970	1.6554663991975929	High
Bladder-TCC::SP1174	Bladder-TCC	0.924531404337614	0.5845098371724832	Middle	5164	9936	0.5197262479871175	Middle
Bladder-TCC::SP953	Bladder-TCC	0.9901959447929644	0.3332433664139606	Low	13583	10086	1.3467182232797938	High
Bladder-TCC::SP1377	Bladder-TCC	0.9606605083552573	0.5341750890350858	Middle	3784	10207	0.37072597237190164	Middle
Bladder-TCC::SP1491	Bladder-TCC	0.9734355683086043	0.5012294172495925	Middle	4664	9988	0.4669603524229075	Middle
Bone-Epith::SP116419	Bone-Epith	0.9396364832082069	0.777933138617266	Middle	763	9976	0.07648356054530873	Middle
Bone-Epith::SP116383	Bone-Epith	0.9723412539168316	0.4950517765504721	Middle	2062	9842	0.2095102621418411	Middle
Bone-Epith::SP116450	Bone-Epith	0.961611629059745	0.625436002409348	Middle	1213	10081	0.12032536454716794	Middle
Bone-Epith::SP116401	Bone-Epith	0.9204679860541326	0.9078427982320412	Middle	689	10016	0.06878993610223642	Middle
Bone-Epith::SP116409	Bone-Epith	0.9458446623855419	0.6652918812041091	Middle	701	9942	0.07050895192114262	Middle
Bone-Osteosarc::SP116515	Bone-Osteosarc	0.9432523166147784	0.5740604582508024	Middle	661	9714	0.0680461190035001	Middle
Bone-Osteosarc::SP116509	Bone-Osteosarc	0.988842099375475	0.41937448103783387	Low	4061	10062	0.40359769429536874	Middle
Bone-Osteosarc::SP116512	Bone-Osteosarc	0.9284775830996431	0.5984013679777697	Middle	1024	9916	0.10326744655102864	Middle
Bone-Osteosarc::SP116496	Bone-Osteosarc	0.9751146131466897	0.5924054131772729	Middle	1916	9842	0.1946758788864052	Middle
Bone-Osteosarc::SP116525	Bone-Osteosarc	0.9677158384644355	0.6673714898898528	Middle	1878	10005	0.18770614692653673	Middle
