Samples	Cancer_type	Correction_accuracy	Similarity_FFPEsig_original	similarity_label	Mutationload_C2T	noise_load	SNR	SNR_label
Biliary-AdenoCA::SP117655	Biliary-AdenoCA	0.9503815115096723	0.7967656110912913	Middle	5419	10118	0.5355801541806681	Middle
Biliary-AdenoCA::SP117556	Biliary-AdenoCA	0.965307413142232	0.5734580196459587	Middle	1998	9901	0.2017977982022018	Middle
Biliary-AdenoCA::SP117627	Biliary-AdenoCA	0.9538795390377695	0.7342260003488603	Middle	3029	9950	0.3044221105527638	Middle
Biliary-AdenoCA::SP117775	Biliary-AdenoCA	0.957598865425368	0.7357717609010821	Middle	5226	10052	0.5198965380023876	Middle
Biliary-AdenoCA::SP117332	Biliary-AdenoCA	0.9647788987634209	0.7048053210124047	Middle	1400	9971	0.14040718082439074	Middle
Biliary-AdenoCA::SP117712	Biliary-AdenoCA	0.9791608522521521	0.8914199619808448	Middle	2372	10005	0.2370814592703648	Middle
Biliary-AdenoCA::SP117017	Biliary-AdenoCA	0.9470153069847449	0.862150101066054	Middle	3714	10142	0.36619996056004733	Middle
Biliary-AdenoCA::SP117031	Biliary-AdenoCA	0.9760661995688376	0.6192483563110434	Middle	4023	10150	0.3963546798029557	Middle
Biliary-AdenoCA::SP117759	Biliary-AdenoCA	0.9446276370608477	0.6778223210610804	Middle	5992	9854	0.6080779378932413	Middle
Biliary-AdenoCA::SP117621	Biliary-AdenoCA	0.9755392046816413	0.6837921937356971	Middle	5849	9991	0.5854268841957762	Middle
Biliary-AdenoCA::SP117425	Biliary-AdenoCA	0.9952796214581505	0.6804252926167337	Middle	6199	10209	0.6072093251052992	Middle
Biliary-AdenoCA::SP117930	Biliary-AdenoCA	0.9601035306798911	0.7281370620073794	Middle	4022	10105	0.3980207817911925	Middle
Biliary-AdenoCA::SP99293	Biliary-AdenoCA	0.9429162543261009	0.9265495914588523	Middle	2321	9803	0.23676425584004895	Middle
Biliary-AdenoCA::SP99289	Biliary-AdenoCA	0.9414588869935236	0.9429038223818511	High	3166	10073	0.31430556934379034	Middle
Biliary-AdenoCA::SP99301	Biliary-AdenoCA	0.9970324285066481	0.372269725409978	Low	5457	10060	0.5424453280318091	Middle
Biliary-AdenoCA::SP99305	Biliary-AdenoCA	0.9179862994691643	0.8223822474379796	Middle	1193	10012	0.11915701158609668	Middle
Biliary-AdenoCA::SP99309	Biliary-AdenoCA	0.9379907560913736	0.9269554476822351	Middle	1847	10013	0.18446020173774094	Middle
Biliary-AdenoCA::SP99321	Biliary-AdenoCA	0.9564525968404103	0.49091769573124233	Middle	1573	9937	0.1582972728187582	Middle
Biliary-AdenoCA::SP99325	Biliary-AdenoCA	0.98322475484838	0.5842260837275217	Middle	74534	9873	7.549275802694217	High
Biliary-AdenoCA::SP99329	Biliary-AdenoCA	0.9295926447277442	0.9122310719862303	Middle	2169	9941	0.21818730510009055	Middle
Biliary-AdenoCA::SP99341	Biliary-AdenoCA	0.9470610837507332	0.8095477878333517	Middle	1245	10103	0.12323072354746115	Middle
Biliary-AdenoCA::SP99345	Biliary-AdenoCA	0.9065761487995303	0.9504374567011353	High	778	9894	0.07863351526177481	Middle
Biliary-AdenoCA::SP99213	Biliary-AdenoCA	0.9647874820260025	0.7309846248475987	Middle	2076	9934	0.20897926313670223	Middle
Biliary-AdenoCA::SP99241	Biliary-AdenoCA	0.9275370918398165	0.94165475675394	Middle	3657	10099	0.36211506089711853	Middle
Bladder-TCC::SP1086	Bladder-TCC	0.9706282953049974	0.8495337070162153	Middle	5395	10184	0.529752553024352	Middle
Bladder-TCC::SP1003	Bladder-TCC	0.993247173862816	0.675211432575434	Middle	10448	10024	1.0422984836392657	High
Bladder-TCC::SP1677	Bladder-TCC	0.9954877540132747	0.6644841794021821	Middle	15125	9989	1.5141655821403543	High
Bladder-TCC::SP1305	Bladder-TCC	0.9065878332746194	0.9619776457049374	High	9803	10061	0.9743564258026041	High
Bladder-TCC::SP963	Bladder-TCC	0.9969940065351703	0.6318707679605557	Middle	15661	10046	1.558928926936094	High
Bladder-TCC::SP1144	Bladder-TCC	0.9928660033396227	0.6536904721847876	Middle	10155	9886	1.027210196237103	High
Bladder-TCC::SP1132	Bladder-TCC	0.9159108612922668	0.9073540087614185	Middle	6218	9856	0.6308847402597403	Middle
Bladder-TCC::SP1712	Bladder-TCC	0.9946736044767259	0.6506570389554887	Middle	4468	9879	0.45227249721631746	Middle
Bladder-TCC::SP1114	Bladder-TCC	0.9277916642427949	0.9151761752740354	Middle	4348	9927	0.4379973808804271	Middle
Bladder-TCC::SP1431	Bladder-TCC	0.995145452986281	0.6580376958436154	Middle	4340	9889	0.438871473354232	Middle
Bladder-TCC::SP1059	Bladder-TCC	0.9855521247370782	0.7182900171163258	Middle	16680	10102	1.6511581864977232	High
Bladder-TCC::SP1419	Bladder-TCC	0.9680593275882675	0.7493167280148275	Middle	4784	9980	0.47935871743486974	Middle
Bladder-TCC::SP1009	Bladder-TCC	0.9792801977765232	0.7372820905218405	Middle	5141	10151	0.5064525662496305	Middle
Bladder-TCC::SP1724	Bladder-TCC	0.995743001388665	0.6645467960492354	Middle	6264	10109	0.6196458601246414	Middle
Bladder-TCC::SP96136	Bladder-TCC	0.9950700553167351	0.662011486179516	Middle	24605	9921	2.480092732587441	High
Bladder-TCC::SP967	Bladder-TCC	0.9813171656595656	0.45263703201512506	Low	1591	10007	0.15898870790446687	Middle
Bladder-TCC::SP1781	Bladder-TCC	0.9982530176088882	0.6026069670706881	Middle	16505	10194	1.6190896605846576	High
Bladder-TCC::SP1174	Bladder-TCC	0.9682823826221709	0.7702372982239856	Middle	5164	9942	0.5194125930396298	Middle
Bladder-TCC::SP953	Bladder-TCC	0.9867236816358266	0.7294246864671865	Middle	13583	10134	1.3403394513518847	High
Bladder-TCC::SP1377	Bladder-TCC	0.984013069694935	0.7282170712323045	Middle	3784	10037	0.3770050811995616	Middle
Bladder-TCC::SP1365	Bladder-TCC	0.9433973964640833	0.7654507027900885	Middle	3419	10040	0.3405378486055777	Middle
Bladder-TCC::SP1491	Bladder-TCC	0.946946092537385	0.8469613741699911	Middle	4664	9854	0.47331033083011975	Middle
Bone-Epith::SP116419	Bone-Epith	0.9333608574889362	0.8039849245785131	Middle	763	9932	0.07682239226741845	Middle
Bone-Epith::SP116383	Bone-Epith	0.9835856620530714	0.7309860729686857	Middle	2062	9822	0.20993687639991854	Middle
Bone-Epith::SP116450	Bone-Epith	0.966309497148758	0.8191094586590044	Middle	1213	9938	0.12205675186154155	Middle
Bone-Osteosarc::SP116499	Bone-Osteosarc	0.9007715974043184	0.8898779879912591	Middle	1091	10008	0.10901278976818546	Middle
Bone-Osteosarc::SP116509	Bone-Osteosarc	0.9334770717074306	0.9334436182385224	Middle	4061	9886	0.41078292534897837	Middle
Bone-Osteosarc::SP116512	Bone-Osteosarc	0.9270175644144321	0.9219804582920765	Middle	1024	9986	0.10254356098537953	Middle
Bone-Osteosarc::SP116496	Bone-Osteosarc	0.9448455710142298	0.9312801300696142	Middle	1916	9926	0.19302841023574452	Middle
Bone-Osteosarc::SP116525	Bone-Osteosarc	0.9398802336095387	0.8449760840385043	Middle	1878	9923	0.1892572810641943	Middle
Bone-Osteosarc::SP116481	Bone-Osteosarc	0.9623683983209115	0.8160320102761638	Middle	1276	10008	0.12749800159872102	Middle
Bone-Osteosarc::SP116528	Bone-Osteosarc	0.9412932785071509	0.7895510648970674	Middle	1440	9896	0.14551333872271624	Middle
Bone-Osteosarc::SP116589	Bone-Osteosarc	0.9099147839332091	0.9248175370343142	Middle	1952	9851	0.19815247183027104	Middle
Bone-Osteosarc::SP116484	Bone-Osteosarc	0.9297018212803266	0.804325849792235	Middle	421	9935	0.04237544036235531	Middle
Bone-Osteosarc::SP116453	Bone-Osteosarc	0.9016169285813624	0.8292807527799384	Middle	844	10070	0.08381330685203575	Middle
Bone-Osteosarc::SP116593	Bone-Osteosarc	0.938886809693591	0.8831427502651719	Middle	1157	9841	0.11756935270805813	Middle
Bone-Osteosarc::SP116487	Bone-Osteosarc	0.9209816899828275	0.8426952442595113	Middle	519	10104	0.051365795724465556	Middle
Bone-Osteosarc::SP116456	Bone-Osteosarc	0.9432566820035185	0.8515037174703115	Middle	794	9859	0.08053555127294858	Middle
Bone-Osteosarc::SP116518	Bone-Osteosarc	0.9206356659887351	0.9314317833655426	Middle	3327	10065	0.33055141579731745	Middle
Bone-Osteosarc::SP116412	Bone-Osteosarc	0.9085266041640183	0.8625499377339861	Middle	645	10019	0.06437768240343347	Middle
Bone-Osteosarc::SP116490	Bone-Osteosarc	0.9223763448909991	0.9051656805299989	Middle	1162	10081	0.11526634262473962	Middle
Bone-Osteosarc::SP116459	Bone-Osteosarc	0.9555507193561129	0.8777970742077045	Middle	1614	10005	0.16131934032983508	Middle
Bone-Osteosarc::SP116520	Bone-Osteosarc	0.9753436814794069	0.9019767448306066	Middle	1713	9982	0.1716088960128231	Middle
Bone-Osteosarc::SP116582	Bone-Osteosarc	0.9667696211248737	0.890363772160216	Middle	2249	9974	0.22548626428714658	Middle
Bone-Osteosarc::SP116478	Bone-Osteosarc	0.9753849877379066	0.853412177981306	Middle	1546	9960	0.15522088353413654	Middle
Bone-Osteosarc::SP116523	Bone-Osteosarc	0.9241108689305251	0.5862427954218983	Middle	854	9775	0.08736572890025575	Middle
Breast-AdenoCA::SP117956	Breast-AdenoCA	0.913462128779711	0.7512905778367168	Middle	758	9989	0.0758834718190009	Middle
Breast-AdenoCA::SP117975	Breast-AdenoCA	0.9378302650384049	0.6474280977763183	Middle	1160	10076	0.11512504962286621	Middle
Breast-AdenoCA::SP2149	Breast-AdenoCA	0.9393052898558478	0.8819218384206626	Middle	2393	9920	0.24122983870967743	Middle
Breast-AdenoCA::SP117113	Breast-AdenoCA	0.9328075483912337	0.6339870834134712	Middle	975	10029	0.09721806760394855	Middle
Breast-AdenoCA::SP117245	Breast-AdenoCA	0.9538191655762553	0.7252254738624243	Middle	1147	10085	0.11373326722855727	Middle
Breast-AdenoCA::SP117402	Breast-AdenoCA	0.9851958116333523	0.7101292397936632	Middle	1655	9942	0.1664654998994166	Middle
Breast-AdenoCA::SP116947	Breast-AdenoCA	0.9216232553179692	0.7167151512397882	Middle	1114	10018	0.11119984028748253	Middle
Breast-AdenoCA::SP117369	Breast-AdenoCA	0.9998981463128158	0.5703722759401161	Middle	31789	9984	3.183994391025641	High
Breast-AdenoCA::SP117244	Breast-AdenoCA	0.9910053070626589	0.6819672678908608	Middle	1127	10020	0.1124750499001996	Middle
Breast-AdenoCA::SP117162	Breast-AdenoCA	0.9499586790087193	0.6227107165500239	Middle	1194	9975	0.11969924812030075	Middle
Breast-AdenoCA::SP117079	Breast-AdenoCA	0.988859904523253	0.6536216492242142	Middle	1686	10156	0.16601024025206773	Middle
Breast-AdenoCA::SP118074	Breast-AdenoCA	0.970771081976473	0.626906513971183	Middle	2508	9930	0.2525679758308157	Middle
Breast-AdenoCA::SP117312	Breast-AdenoCA	0.9354865460748722	0.6760779319436818	Middle	949	9933	0.09554011879593274	Middle
Breast-AdenoCA::SP118038	Breast-AdenoCA	0.99691816960161	0.6368188947084209	Middle	3741	9917	0.37723101744479176	Middle
Breast-AdenoCA::SP118073	Breast-AdenoCA	0.901052870962185	0.591397517385515	Middle	882	9858	0.0894704808277541	Middle
Breast-AdenoCA::SP118012	Breast-AdenoCA	0.9125664892303604	0.7002429814099564	Middle	764	10064	0.0759141494435612	Middle
Breast-AdenoCA::SP117108	Breast-AdenoCA	0.9078485607080485	0.6111217055034883	Middle	786	9967	0.0788602387880004	Middle
Breast-AdenoCA::SP117354	Breast-AdenoCA	0.9246611972737272	0.6977240936522708	Middle	1236	9984	0.12379807692307693	Middle
Breast-AdenoCA::SP117370	Breast-AdenoCA	0.9289816221959301	0.6536421992609016	Middle	837	9853	0.08494874657464732	Middle
Breast-AdenoCA::SP116991	Breast-AdenoCA	0.9536181752790157	0.7532161906971155	Middle	1179	9899	0.11910293969087786	Middle
Breast-AdenoCA::SP117629	Breast-AdenoCA	0.9173802144446351	0.910285113150036	Middle	1502	10058	0.1493338635911712	Middle
Breast-AdenoCA::SP124199	Breast-AdenoCA	0.9263087206408184	0.7848959794904249	Middle	1601	10054	0.15924010344141634	Middle
Breast-AdenoCA::SP117850	Breast-AdenoCA	0.9389873136302409	0.7218740248665576	Middle	1040	9954	0.10448061080972473	Middle
